RegionID,RegionName,SizeRank,Index,HistoricAverage_1985thru1999,1979-03,1979-06,1979-09,1979-12,1980-03,1980-06,1980-09,1980-12,1981-03,1981-06,1981-09,1981-12,1982-03,1982-06,1982-09,1982-12,1983-03,1983-06,1983-09,1983-12,1984-03,1984-06,1984-09,1984-12,1985-03,1985-06,1985-09,1985-12,1986-03,1986-06,1986-09,1986-12,1987-03,1987-06,1987-09,1987-12,1988-03,1988-06,1988-09,1988-12,1989-03,1989-06,1989-09,1989-12,1990-03,1990-06,1990-09,1990-12,1991-03,1991-06,1991-09,1991-12,1992-03,1992-06,1992-09,1992-12,1993-03,1993-06,1993-09,1993-12,1994-03,1994-06,1994-09,1994-12,1995-03,1995-06,1995-09,1995-12,1996-03,1996-06,1996-09,1996-12,1997-03,1997-06,1997-09,1997-12,1998-03,1998-06,1998-09,1998-12,1999-03,1999-06,1999-09,1999-12,2000-03,2000-06,2000-09,2000-12,2001-03,2001-06,2001-09,2001-12,2002-03,2002-06,2002-09,2002-12,2003-03,2003-06,2003-09,2003-12,2004-03,2004-06,2004-09,2004-12,2005-03,2005-06,2005-09,2005-12,2006-03,2006-06,2006-09,2006-12,2007-03,2007-06,2007-09,2007-12,2008-03,2008-06,2008-09,2008-12,2009-03,2009-06,2009-09,2009-12,2010-03,2010-06,2010-09,2010-12,2011-03,2011-06,2011-09,2011-12,2012-03,2012-06,2012-09,2012-12,2013-03,2013-06,2013-09,2013-12,2014-03,2014-06,2014-09,2014-12,2015-03,2015-06,2015-09,2015-12,2016-03,2016-06,2016-09,2016-12,2017-03,2017-06,2017-09,2017-12,2018-03,2018-06
394723,"Jefferson City, MO",272,Mortgage Affordability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.252043184282404,0.235231031522072,0.223073321850034,0.210084887140011,0.232152684283251,0.254357197002702,0.238167625338501,0.23179405020361,0.233199528496137,0.23395114328142103,0.22921267634267498,0.22383438744182502,0.21006854913012898,0.20820962785079603,0.198611510486754,0.209788066377583,0.205559639596726,0.20508181396173603,0.194271810304383,0.189266500026121,0.190671863407148,0.18108505200903402,0.173366667660184,0.18208040879290302,0.176722164596155,0.16593238366363597,0.168745151084801,0.15621944888245298,0.15507192043467802,0.146521565846535,0.152353577324313,0.166567599443626,0.18767932238417498,0.189939802415158,0.19752497216253698,0.18204566641128,0.16491822139419798,0.16468935739325302,0.15895635271560798,0.167814336363586,0.176482193741485,0.17293659642283,0.165414824373271,0.176548004157383,0.178013181338666,0.173943283507262,0.166127092642702,0.165037345083901,0.16262705768112,0.158281619163374,0.15971565906399499,0.166986285567752,0.17814539972079002,0.18540672052430604,0.188883199868234,0.19498425976675599,0.19570150456006102,0.18856184199672402,0.17916616852916104,0.174287501442147,0.179911891867856,0.17501199357312697,0.17942793467382898,0.18029624285555604,0.173804575209862,0.16544971785678303,0.166035079139552,0.16097123562977697,0.152804594562397,0.170035142040344,0.166302490204941,0.156242973559139,0.16792731775036998,0.15635175717038502,0.15641266703756,0.160681956787066,0.15558826237874898,0.161595312290114,0.172329981298619,0.174902515294969,0.183667913195677,0.177776551541998,0.16965290063324898,0.16704940655935,0.171816753761302,0.16464511788333702,0.159647331419009,0.156349793332398,0.159294363231185,0.151638590232482,0.135619700982859,0.129122804625729,0.13307454241670302,0.12787450155021401,0.127080586590049,0.12883706116187402,0.123635818629296,0.11755546246723199,0.12200325589708401,0.12213345467649901,0.118267144311991,0.114362220960317,0.113497079035144,0.115793319830958,0.11345570596955301,0.109645091324587,0.105938599074739,0.10924452481171401,0.11607531229640801,0.122758518803269,0.120872646428825,0.118046838192673,0.11486799799539801,0.114088865787407,0.10971838308478099,0.10744495035053801,0.110041174403574,0.109691128136821,0.11116209890200998,0.10829720119722,0.107503349145836,0.107353686662155,0.11811165416048199,0.119052752271961,0.11540289459302802,0.114071288126671,0.117157963593405,0.124215470877732,0.127656106613943
394453,"Chambersburg, PA",273,Mortgage Affordability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25443881994345496,0.26917898985636,0.26135717266209196,0.226723943716535,0.214262456387917,0.196861422698985,0.18604060493378602,0.17750867100927398,0.177439588354747,0.175246516378345,0.16804508718271,0.16461083370688598,0.165918560715775,0.16868903934671398,0.16852830543730898,0.169777700306056,0.177006606250232,0.18223249513661702,0.18678134185186,0.19700274402998197,0.213762554715613,0.23923602132912603,0.24435905656815302,0.257542649403022,0.263138170659006,0.259824650670953,0.257887412403111,0.275361667039682,0.28240788165180397,0.267254572192453,0.278545094694283,0.2522276071466,0.226744889305387,0.236351698458021,0.215398394346327,0.20334968279642002,0.19040811023465898,0.176972078619757,0.186031862370127,0.207042393390725,0.22117366083196102,0.24222701607333202,0.237395184372298,0.224303538692626,0.21730830491875197,0.219266340869322,0.20898899241131197,0.2069059652234,0.206970196171918,0.211817485418048,0.200024673491387,0.17885681636655604,0.16984110944999697,0.173718657329914,0.16586145800737803,0.16340912520921697,0.165294721771694,0.16120799182286802,0.15248870777826998,0.15302087428212197,0.14951468065310097,0.146479878936202,0.139498852467875,0.13734746003294002,0.136943958984352,0.12615969265281698,0.11966989029675901,0.114060011461074,0.12097162203492802,0.129256312342814,0.13716099385478,0.13567519963136698,0.129977077235724,0.12686777906478,0.12518060157164698,0.118808259673122,0.114653334431753,0.11709851500489998,0.114385419469081,0.113342536060422,0.11109122751348299,0.10908255140267199,0.10868193768869501,0.12049677167356099,0.119315631395599,0.11540559382190599,0.11496050760747699,0.11746308557091,0.124336306052541,0.125660040500437
395152,"Texarkana, TX",274,Mortgage Affordability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.146641526380082,0.13922783780734602,0.143873466250567,0.135914281129479,0.136589099626845,0.133072554229824,0.13289226413670502,0.136043015608994,0.14664369920712197,0.149202071622294,0.153378261980502,0.149877516420031,0.13821134696086199,0.138345930826177,0.13162600179926598,0.13440539927910802,0.141039216826771,0.139917675668974,0.13414859864623302,0.141087243436132,0.140768231050276,0.138623588599822,0.13592201726081699,0.137190319705373,0.134668362471335,0.128862625803803,0.126526160002957,0.128053730945361,0.133315793818446,0.137032113691268,0.140087249426858,0.14538042139722698,0.146286987259421,0.14192754043250597,0.137414462960582,0.13566616133310602,0.141491018712094,0.137874742289044,0.141478317442035,0.14255559305515303,0.13833856489444102,0.133104053059696,0.13539655480923599,0.130723550653545,0.123775611275343,0.13772871307828502,0.1338645624,0.130688973317519,0.14718020816748598,0.13987397530971,0.138746861984644,0.13833089875703602,0.128111245947394,0.129816774569967,0.136647996530134,0.13630112559072602,0.14076000055914098,0.13583503686472398,0.13172271680788197,0.132009468876936,0.136801345050368,0.132389159067726,0.130344919248263,0.129230498405702,0.132461969150904,0.127051082298504,0.116153248546689,0.112769360718042,0.118799109004598,0.114662120403622,0.11195893345289301,0.110785075572004,0.106768428367445,0.100631344334438,0.104492379319613,0.10527333089278,0.101679943175742,0.097178813552778,0.0960832968755361,0.0953783706921594,0.0926813795878593,0.091424261616749,0.0894062043093376,0.0956005399662811,0.10358701171170699,0.11242611288757,0.113565366676687,0.11180324896340899,0.109090260254247,0.106062659350446,0.103252284949186,0.10021689670696002,0.10072684090934901,0.0990740743388797,0.0993873863271191,0.0951868986729694,0.0925612002847786,0.0906330918530576,0.0967372468285717,0.0970383856188812,0.0939847334381395,0.0927356808483292,0.093797420767444,0.10146479906781901,0.103746450936682
394563,"Elizabethtown, KY",275,Mortgage Affordability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.136596364944333,0.14571747835402898,0.15465685766258,0.15889249501515698,0.164119556101882,0.16100677496288,0.143241427198641,0.141601037455474,0.13778856274623402,0.14851070463882698,0.15624564697448198,0.154910988833926,0.14635220440246,0.15086394462371697,0.14742990185886903,0.142609530699795,0.137096371481644,0.136430105312817,0.132482170727007,0.128128275248736,0.128077265829223,0.131510288279964,0.140642452372182,0.149497460667333,0.15459803958368804,0.160568910869246,0.160393642769978,0.153440045134578,0.146611417984116,0.144395039200253,0.14820551141538,0.141479692596866,0.14368847511743302,0.14520230771546802,0.140740284805278,0.13380426943681198,0.134097586964139,0.130699649004994,0.12270266706690801,0.134066999566017,0.128741178698767,0.12169437773372699,0.134770290418614,0.131834876680276,0.136308301516503,0.141281014782691,0.139164621422733,0.145113112288103,0.153239952584191,0.152180820258638,0.157839998960548,0.153797846270652,0.15087453709795098,0.152541833832292,0.15885716114460902,0.152831486247463,0.14855155868582098,0.14675181096569598,0.14924814866572597,0.14284984976247198,0.132114048420653,0.130412395422681,0.13799600770551998,0.132357053554568,0.129703380156491,0.130055464670336,0.126680540472204,0.12181354437916199,0.12610033436136098,0.127944137628944,0.12287861702928599,0.11608708793216801,0.11316079133932,0.110557399169389,0.105691916936797,0.10337339059255,0.100768404183795,0.10455918630798301,0.110188540623464,0.115204814445789,0.11452721268389099,0.11322909355050201,0.11173810078792401,0.11166954879188801,0.105311855493829,0.10317422539125301,0.10543430483749099,0.104737185727346,0.105711290088034,0.102127831851638,0.100832140739027,0.0996519734682732,0.111713411564795,0.114588341396024,0.11198288929093901,0.111601905048361,0.11545798877128902,0.121865504513,0.123725443015416
395221,"Wheeling, OH",277,Mortgage Affordability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.115431055779407,0.0963262419317324,0.094401832979004,0.10248866977800399,0.10582365925279699,0.11168591673177698,0.108451801596381,0.10600146585336098,0.10892057184482301,0.115448751321612,0.11010767178254201,0.10581170170008099,0.104201579709527,0.105742006658201,0.0988928017291015,0.0893081162123515,0.086775681627552,0.0906726302797356,0.0863048864519586,0.08481280595641799,0.0855071008236364,0.0832757827425242,0.0795466583466714,0.0827028579103824,0.0825395752866504,0.0793878820404417,0.0757092805318778,0.0741931605953098,0.0740994640484932,0.0720152878895736,0.0708765759793948,0.0693614607344251,0.0723565943372248,0.0775441334263562,0.0820499917494632,0.0814568919994054,0.0798134663168142,0.0777094150649622,0.0776554355274673,0.0756947075388551,0.0765879822958641,0.0789873193218979,0.0787830526902572,0.0803352945880935,0.0787863290551399,0.0779730568380272,0.0776436566154577,0.0851026164498562,0.08530638170909499,0.0826761742723359,0.0823607100941356,0.0833590072864664,0.0891097261029575,0.09163619953043
394598,"Florence, AL",278,Mortgage Affordability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0983404222745465,0.0996068593236379,0.0933964594484094,0.0918966369854097,0.09396800164754199,0.0875369843640922,0.0908416103280455,0.0874986596128952,0.0881398095475744,0.0909505084639195,0.0942237827292769,0.0979196782167276,0.105773530366654,0.0987003721136808,0.0950607503408614,0.0936911684953846,0.0876186685575136,0.0940706835951092,0.0985731462866623,0.10159772086703,0.10258535065341699,0.108549572696297,0.10396282621142698,0.0919673269875251,0.0808029284813385,0.0795325147309601,0.0799456708784691,0.0805955734803078,0.0845280582202336,0.0904834615100982,0.0994819916966743,0.10724399975055801,0.118172301646502,0.137791426362966,0.15347091321396802,0.158123935300818,0.156696932782865,0.155187066892565,0.159808238875808,0.15309515429718898,0.151255801878011,0.145579798738392,0.13962701580383702,0.14453899414846302,0.162530077983059,0.157243619997695,0.14451281646654301,0.16427180703495498,0.16779918047151599,0.163709287253996,0.17548444330782298,0.15929913328770098,0.152481401431105,0.15024877630601802,0.143411663365978,0.14147288118784399,0.144061579859578,0.160402097106764,0.18497300246942103,0.178299273181248,0.160107819818855,0.14473946451921998,0.14315266784729902,0.136230927852036,0.133892293896554,0.138195839391637,0.148454400496547,0.14700565996355802,0.13824695706815499,0.134482627233656,0.138401258375729,0.132475671018117,0.13232954637730002,0.132751018264521,0.125655272753986,0.11974453997076,0.123687140481799,0.12428938891996101,0.119649054161705,0.114606989159562,0.110732083569701,0.108396262778728,0.102390066631915,0.0980955513697712,0.0957518235198867,0.0962491690309484,0.10081388978192699,0.104300277615939,0.103666222281562,0.10298071723526599,0.102016604478808,0.10429431130866199,0.1050970186949,0.10575347960316198,0.10804321560632002,0.10449252194901401,0.10107461137418,0.0945299079108311,0.0932438331769973,0.09378337142346499,0.103788403636007,0.105217391424607,0.102161107710938,0.10084489257434899,0.10285737231959699,0.11016410471905401,0.111321797396135
394639,"Grand Junction, CO",279,Mortgage Affordability,0.19852851829371698,,,0.273473067069716,0.33120107219170897,0.31561126539864504,0.298946347746195,0.322447458133201,0.327944421137587,,,0.452517491688891,0.3802089245082279,0.46112564361513597,0.49289816320196894,0.3821317270249171,0.3556580709387371,0.36100817371712396,0.379052829186543,0.37567643445403204,0.29508794071407696,0.346211879913076,0.31760224743417104,0.313406818149185,0.28385607000868396,0.286723453235293,0.229974442228492,0.246703881622829,0.218107049881835,0.20630009238793898,0.21333413816820498,0.196326819383771,0.189555292157715,0.186053884067198,0.20765523710522302,0.20490737413396898,0.213085593245845,0.20351288454077698,0.20114914841621,0.20366052181235,0.202562403589956,0.210830304746426,0.198752570742962,0.203591891153923,0.198304465844471,0.207856997652933,0.207469402847702,0.20793733542707502,0.19567380689859604,0.199543675346906,0.201056906714875,0.18622407687680104,0.18348075031179997,0.18872783217779998,0.17906411957234,0.168900478821874,0.17852750046153304,0.16694513256441598,0.170107640490456,0.16434057592594598,0.172273313612011,0.18535314171878603,0.20214903188613395,0.21302527546051997,0.22476692146319396,0.211367199032966,0.19454344559727804,0.20207440990251102,0.193556795006333,0.205266327763137,0.21865173553562,0.211836716454922,0.19188910237020398,0.19140168449183803,0.185112520517198,0.180862919073057,0.177275671318198,0.18016093133335398,0.178011120668219,0.171034009394733,0.17033343274788598,0.17492557488800697,0.184127703740943,0.191929070598335,0.200114454817633,0.21127956946676898,0.21319603410743,0.20661798542621804,0.198876962474974,0.19561754146108198,0.201931501724269,0.197823924030856,0.206488819283124,0.21079629633043603,0.204863420129852,0.195204415944403,0.19777700571670498,0.193194740253256,0.18432624012141702,0.206734460887689,0.202569626946943,0.19544699089201398,0.219945742633837,0.213380989916312,0.21650305220238197,0.221470339711686,0.214875802913069,0.225259386102742,0.242140553407689,0.24541944226641896,0.26102421582749197,0.257153868615169,0.251969509464675,0.251754516415064,0.266812080271706,0.262084663527992,0.255943753615956,0.25513780762371996,0.261711186534353,0.245482241686,0.22043551520172802,0.211934648992742,0.21976899753217,0.20747069544809502,0.20247767042459,0.20409583677110502,0.190361175370153,0.17507298334914498,0.17919160555185001,0.17986017057398698,0.16961455650631901,0.15956198976369002,0.15745574769694198,0.15402520048037802,0.150578829914672,0.14943917498495402,0.143828280819343,0.14931872752840197,0.16175899195836702,0.174385861291338,0.173998800321156,0.16785198460699696,0.163059920157801,0.16258397450373901,0.15909578906592003,0.15989914000722197,0.166675028994759,0.167541207431435,0.172539806032983,0.169910406337182,0.170806553064322,0.17252808705358497,0.19133973568306603,0.19326299015972198,0.18859480598110798,0.190370639763452,0.195477718974246,0.213069877316034,0.218410894357386
394537,"Dothan, AL",281,Mortgage Affordability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2109807051015,0.204382239929164,0.20757670807908,0.21143696365730102,0.200060543886459,0.19883011388714,0.194792845554546,0.19145711677179697,0.18608098699204798,0.17450624134418902,0.18385905915756698,0.17568356311512698,0.16971723430639402,0.173178575289525,0.165991811538093,0.16278025647928301,0.15454180003772597,0.15678265367139002,0.165190863686385,0.17609585969033104,0.181959831715147,0.181283349299159,0.17862477838914997,0.16944596566028,0.170140913875518,0.164681856514764,0.16979939443734102,0.18173859703460898,0.183451936784335,0.17840549338976897,0.188834921454347,0.18779385638432897,0.18035616141863897,0.166653187514097,0.156905291102495,0.14853868007352802,0.14370080196140303,0.145911607951866,0.151985968467108,0.161465625918996,0.165038205700978,0.165779425423155,0.17007446770626902,0.17028905472659198,0.165784686561191,0.159226135186508,0.156250683437415,0.16053411284460098,0.155296627378377,0.15771745095787804,0.15759948969054502,0.15237527667104597,0.146767988183365,0.150009066068173,0.15010828967118803,0.14629127140356601,0.164566161159942,0.160918361416946,0.153532240711625,0.16784837434376904,0.158302634613434,0.157645762405315,0.16235964671014003,0.16074722447685003,0.16991920727948498,0.181809207450663,0.18545400317696698,0.194362213713095,0.19192921971772897,0.20302534421183802,0.213610443056018,0.223681973827096,0.21524682522034197,0.207775254803572,0.20285807066595601,0.205481702225855,0.19565231525862,0.174517460352104,0.166230479531607,0.170497876192666,0.162766471650439,0.159860079915765,0.16083443778384302,0.156213865103222,0.144932655510973,0.144528301165254,0.14145373214109197,0.135426828478138,0.129808236253182,0.127246556276822,0.124770314289443,0.12075748383739099,0.11913842550697198,0.11771621193406599,0.123807555877453,0.131377470297723,0.136888481198675,0.13474472665307802,0.130244945924109,0.12477373192241499,0.123922277513506,0.11953615823486802,0.11915485750608301,0.123600716556591,0.121845920501119,0.122559439157831,0.11945452702608501,0.118187597441497,0.11672011180268699,0.127091189279676,0.12757295940007699,0.12275033473506801,0.12133474060291599,0.12312613880727301,0.130464160581324,0.131818964729246
395066,"Santa Fe, NM",282,Mortgage Affordability,0.322351615428722,,,,,,,,,,,,,,,,,,,,,,,,0.44804040291045005,0.44734523749632105,0.39796036975253607,0.385278407441926,0.36808615141359596,0.326413887078886,0.34628335607858896,0.322342117185845,0.307252981804641,0.298329936536371,0.34237251801496504,0.335118856657393,0.33482059734194397,0.31008803881221697,0.324945547015942,0.34207473674878003,0.33544924193919895,0.33890937350299,0.328214942887101,0.318593194027363,0.32096799836963696,0.324852076808646,0.32553472271394,0.33574807613789803,0.330050781605048,0.31451913231058193,0.32236111367159803,0.307172881898405,0.29744283344546696,0.31416103529580897,0.301278809673716,0.283688037453475,0.300099395835216,0.28497925432715804,0.28481403745865,0.274746049003178,0.285082663642654,0.312619957790587,0.328925431539687,0.33356900657871,0.36387290830664004,0.34110819197342107,0.32394923112288004,0.32480208457618703,0.314683691811609,0.326706177286148,0.345074934077914,0.33925787366769894,0.319160795626648,0.330211511243797,0.325130153002706,0.314462011899294,0.29291173878918103,0.271564157523726,0.255710918494524,0.24669730713006102,0.24914245911194396,0.25925340341922304,0.27269887309023,0.281371635080454,0.28755317442071804,0.299683418598089,0.299490013045667,0.287755426872751,0.275582477061081,0.269820918777064,0.27779498762057897,0.26974473755770395,0.27824484929932697,0.28305612494126503,0.27586961449858005,0.26436382842275796,0.267467588949318,0.26358218057958,0.252891928344823,0.283588206411103,0.279139213218251,0.27230149875284,0.30863688592265603,0.30248358974446005,0.308279419902649,0.31812045646523995,0.307737913505976,0.317924355543117,0.338495812741722,0.34566088209611795,0.36473935552216,0.35259584931967297,0.34318874601378,0.34358746751383806,0.358758501864021,0.35131985010190303,0.34840800494189694,0.346235956472968,0.35360696082776794,0.33992024682823196,0.310982827993,0.304023560885266,0.32069397507117103,0.309681863869499,0.30453220001965003,0.30813178113367495,0.293440790334578,0.272088149614757,0.275303212094073,0.26699787832384103,0.25326454097399104,0.24352591048970898,0.24143175386605803,0.23880375979651502,0.22797491628726602,0.21270897438613798,0.20188963651917602,0.20732092305253402,0.221425895049135,0.23981442840395603,0.24476937858577802,0.240994015005401,0.231679054811332,0.226854349829632,0.21698956924283702,0.216210928955088,0.22627833385619198,0.2337750027248,0.232361648153705,0.226371009255349,0.22479547423833,0.22177968583294802,0.242394312232638,0.242116304742245,0.233565370571643,0.231723278161228,0.234837936218171,0.253185615623524,0.26221233685435
394727,"Johnstown, PA",283,Mortgage Affordability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.118191230307486,0.128697174412974,0.135293100093874,0.13222498373754,0.122749547031982,0.127737322356306,0.133705318399747,0.142683695557307,0.14666641714303502,0.151110819385205,0.146355973872829,0.13709352261372,0.13587485870195698,0.14510782495449698,0.15893653218271098,0.16771756785570002,0.168967815195359,0.16701298528519698,0.159473700039701,0.14787318495655,0.137317660141445,0.1282810581515,0.12777234597902,0.12575036812466,0.13879901706811598,0.15215468175070598,0.15228339008763098,0.13999799087339002,0.132293719147728,0.12343972636625901,0.11680330227577301,0.133715655216822,0.134053387733015,0.12852330037577198,0.140885068373761,0.132762057866617,0.12969802348879303,0.130709998982282,0.12743826575655098,0.135914618095395,0.15046016929623302,0.15758062214140803,0.16501377617299498,0.15379032595788,0.14276437884208099,0.13878087804573902,0.143479245162265,0.13908819750973198,0.13869193442052,0.139772641724558,0.145205323832099,0.13988950474880701,0.128297048252749,0.12435291110180098,0.130072085332055,0.124661980631945,0.121821397016923,0.12143881053968901,0.115732189536741,0.10897610135660901,0.11184049187606801,0.111398012013138,0.10317721158503199,0.0961551909612786,0.0926921608234064,0.0878866383616714,0.0848278590129558,0.0814213123650653,0.0742281821689628,0.0746776897821337,0.0786860116969481,0.0824493203179454,0.0812128765878129,0.0792426690271278,0.0756858565935642,0.0745214837983375,0.0726066570504278,0.0726906011677617,0.0747829872889618,0.0740451185218031,0.0749897681272546,0.0731336278458074,0.0723188583078937,0.0707914565478826,0.07665470206704598,0.0771908794348115,0.074059500504032,0.0733617753306142,0.07493069014522999,0.0778793909779767,0.0785650721967889
