State,Count
 AK,2
 AL,10
 AR,6
 AZ,7
 CA,26
 CO,7
 CT,4
 DC,1
 DE,2
 FL,22
 GA,13
 HI,2
 IA,7
 ID,5
 IL,11
 IN,12
 KS,4
 KY,5
 LA,9
 MA,5
 MD,4
 ME,3
 MI,14
 MN,4
 MO,8
 MS,3
 MT,3
 NC,13
 ND,3
 NE,3
 NH,1
 NJ,4
 NM,3
 NV,3
 NY,12
 OH,12
 OK,3
 OR,8
 PA,17
 RI,1
 SC,8
 SD,2
 TN,10
 TX,24
 UT,5
 VA,9
 VT,1
 WA,11
 WI,10
 WV,5
 WY,2
