RegionID,RegionName,SizeRank,Index,HistoricAverage_1985thru1999,1979-03,1979-06,1979-09,1979-12,1980-03,1980-06,1980-09,1980-12,1981-03,1981-06,1981-09,1981-12,1982-03,1982-06,1982-09,1982-12,1983-03,1983-06,1983-09,1983-12,1984-03,1984-06,1984-09,1984-12,1985-03,1985-06,1985-09,1985-12,1986-03,1986-06,1986-09,1986-12,1987-03,1987-06,1987-09,1987-12,1988-03,1988-06,1988-09,1988-12,1989-03,1989-06,1989-09,1989-12,1990-03,1990-06,1990-09,1990-12,1991-03,1991-06,1991-09,1991-12,1992-03,1992-06,1992-09,1992-12,1993-03,1993-06,1993-09,1993-12,1994-03,1994-06,1994-09,1994-12,1995-03,1995-06,1995-09,1995-12,1996-03,1996-06,1996-09,1996-12,1997-03,1997-06,1997-09,1997-12,1998-03,1998-06,1998-09,1998-12,1999-03,1999-06,1999-09,1999-12,2000-03,2000-06,2000-09,2000-12,2001-03,2001-06,2001-09,2001-12,2002-03,2002-06,2002-09,2002-12,2003-03,2003-06,2003-09,2003-12,2004-03,2004-06,2004-09,2004-12,2005-03,2005-06,2005-09,2005-12,2006-03,2006-06,2006-09,2006-12,2007-03,2007-06,2007-09,2007-12,2008-03,2008-06,2008-09,2008-12,2009-03,2009-06,2009-09,2009-12,2010-03,2010-06,2010-09,2010-12,2011-03,2011-06,2011-09,2011-12,2012-03,2012-06,2012-09,2012-12,2013-03,2013-06,2013-09,2013-12,2014-03,2014-06,2014-09,2014-12,2015-03,2015-06,2015-09,2015-12,2016-03,2016-06,2016-09,2016-12,2017-03,2017-06,2017-09,2017-12,2018-03,2018-06,State
395103,"Sioux Falls, SD",192,Mortgage Affordability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0981512149573189,0.0941755955231219,0.0919671297403691,0.10201864287544901,0.10380959980337899,0.101153126743795,0.0864507200345541,0.0957957274032533,0.0952470132180328,0.0957779376894083,0.0996930438000365,0.0874676274582155,0.0883888089289452,0.0833199943493483,0.0883777275476741,0.0902899914288564,0.0890987960846748,0.0839025226677796,0.0838300149460116,0.0868468385686987,0.0812675788152726,0.0786672313747093,0.08290174836075799,0.0785106207922252,0.0752863070038193,0.0775036514997144,0.0721640464670665,0.0727457922671609,0.0696556194153622,0.0728319640890027,0.0777266242204175,0.0830616186339068,0.083584013710334,0.0883260829567432,0.08112749103286299,0.0762996364740409,0.0774965852594945,0.0756745003245913,0.0796738173248744,0.0833129904754897,0.0834960679215525,0.08172010532749001,0.0873410105333182,0.0829132684394673,0.0792335828891053,0.0807599063994734,0.0883871340946108,0.0953927053288096,0.0978433295169488,0.103441285925527,0.115697940593464,0.129184113236966,0.13629707341718,0.136460860815695,0.140632750263745,0.143880498175711,0.14087963426678798,0.133562591279907,0.133775229284283,0.140668367465307,0.13305946493017098,0.13070094050210698,0.130095465456712,0.12708535781620198,0.130600214793985,0.14637589367771697,0.138372562079809,0.126215589592626,0.14079466259532197,0.14225376485342198,0.141839097655674,0.16300998720637602,0.157448718071242,0.157339383381716,0.159355719393924,0.15221517773663001,0.15471319484286702,0.162606027071609,0.163862240947633,0.17182141550451802,0.167015125420029,0.16159431716609,0.158998119704404,0.163359711014536,0.15689858465614903,0.155457865006055,0.154934620540147,0.16158420887836403,0.15588579542727,0.14250475999120998,0.13735634499684102,0.14301587016550002,0.135933659844159,0.133277933177424,0.133480105725307,0.128736934526981,0.122579483608327,0.128177167323807,0.128104553725183,0.123899749640032,0.11798204999001499,0.11554997863172001,0.11528188409478098,0.11007021732953301,0.11011568316711999,0.108279734389006,0.11174817192739399,0.11861181570244803,0.125893142450311,0.12498702186773401,0.12133235334878599,0.117090702207476,0.11600293756631698,0.11328468796207801,0.11386376372383401,0.11753532001655198,0.11586120820734801,0.116701009754767,0.112799807503919,0.11152748915844199,0.110566482559938,0.12167669984909699,0.12191909616099801,0.118582560909169,0.118797698567634,0.12200988781162599,0.132392069918404,0.136228023407447, SD
394429,"Burlington, VT",200,Mortgage Affordability,0.20598844362220897,,,,,,,,,,,,,,,,,,,,,,,,,0.253421564532517,0.237513356263562,0.238457331371614,0.22436890541753002,0.20735010962403302,0.221275095783276,0.21377597356656,0.206690727008486,0.20616600022025802,0.235874059099721,0.24473305170938298,0.24265101018177201,0.234417308342532,0.24685912258805398,0.251432864504213,0.252775025534458,0.261150321602387,0.24791033496292103,0.24640494667824303,0.24188270092416603,0.247469959710198,0.245912119346453,0.246016768577011,0.23742133747272198,0.232932855198405,0.23641131731020498,0.22056263630239004,0.21110775625173003,0.216890839510183,0.205810887024161,0.19534807006381896,0.20252927738749602,0.190032689531204,0.191759441835356,0.181714624943876,0.185236983067047,0.194744913127263,0.201307523885696,0.204840890339365,0.217382642003577,0.199982248496769,0.18860556932163802,0.18837358786545802,0.180839768951112,0.19207356406835602,0.20197887204494602,0.19676066304278197,0.182734805842373,0.18564023822711398,0.18030004643575798,0.17476674425760097,0.167941482487657,0.16677671204319197,0.162874153919771,0.157103838249449,0.15669260897083498,0.160545136989906,0.16829855999692098,0.173815524182067,0.17991582956883803,0.18970814973151,0.194035522233219,0.190974186882881,0.185134288801697,0.181973778550585,0.18765763450920298,0.183935334301853,0.192234973915247,0.196484997060675,0.191692954521197,0.18351339751250897,0.185739434299214,0.18300209909287,0.175519868257446,0.198364109441518,0.195953862000841,0.191139558602951,0.21489064991691897,0.20878791920693104,0.212935071661482,0.224243732131745,0.223970970790004,0.23733155414231,0.255333654546974,0.256552171317693,0.26393661857474,0.251815114243611,0.240382930028448,0.235866903632608,0.243496570999933,0.23454320482577498,0.22938487011623498,0.22729540846003302,0.229573352255035,0.217905627763487,0.199811272408968,0.19345149138299103,0.20128748132614496,0.19600456791928797,0.19468289693104002,0.19503425721459,0.19399018596150303,0.18296601162857504,0.187479432433126,0.18832265401042397,0.18229465483448604,0.171576823594493,0.167239003579447,0.166044654493057,0.158648230664077,0.15710537561760501,0.15365303033415198,0.159678102247963,0.16950354813557997,0.17851000334738698,0.175657062884125,0.172864428903565,0.16756806400888,0.166914946938432,0.162392047124581,0.160440063679585,0.16531548921528,0.164236531498405,0.165767575839856,0.16085778678480703,0.159206125217208,0.156090757392079,0.172247812200248,0.17459381183767003,0.16768594130960401,0.16917527280367697,0.171885939120511,0.18084761725135104,0.181874604963604, VT
394585,"Fargo, ND",205,Mortgage Affordability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.151902668568278,0.15385128762937,0.168236916684362,0.166258916494083,0.161424913989071,0.148268221827993,0.16174200688537,0.153365413205979,0.15847723923905802,0.15881092596085,0.141079941072786,0.14151827401528,0.141573129639377,0.14908299924284502,0.143876007859952,0.1419356690132,0.13432276821973899,0.134739082837107,0.136619026884266,0.130965681877741,0.12653278133196802,0.133112649774013,0.12672919448828998,0.117629944876166,0.120338920831105,0.11125415437020199,0.111744431242836,0.10762849151158599,0.11215916983529599,0.11978026031366801,0.128926007817144,0.131264839426711,0.132345967631839,0.124110180519651,0.11321214876838001,0.11576587943996901,0.110682279984121,0.12115067455704599,0.128793103746152,0.12673975153887498,0.117637905207794,0.12142668991244301,0.11890282431702198,0.119136657357908,0.12144797061093598,0.12814337645744198,0.128931617476183,0.12341433994092599,0.12050657317380199,0.122083761239151,0.126874118830604,0.132366435854885,0.139507643116939,0.151397103377448,0.155408089194025,0.14974917080686803,0.143786336730396,0.14584739342178196,0.15920645271943099,0.163068395044952,0.17363324006014402,0.17888156031488198,0.174985462145323,0.168401835460391,0.171850567185704,0.16610948734325304,0.15656675854141,0.17505433945044802,0.172037866372502,0.16810148883758802,0.19021171757909197,0.18592425296162898,0.185076500733222,0.182161177237215,0.172700062330558,0.177336890507132,0.188753957124987,0.192725981164816,0.20071919184933604,0.19411532100895498,0.189659003435298,0.19051878733125002,0.19749321151639898,0.191182389788925,0.19030030330299302,0.189113198525422,0.19456775771062,0.185202044451865,0.16827279014122304,0.162261283688364,0.168985541127639,0.163037758684548,0.16080820372202698,0.160145178376869,0.15490946253524301,0.14678712341807099,0.152150454999821,0.15237594635864302,0.14680452070129002,0.138768944395291,0.135189454093232,0.133624463069824,0.127554932887591,0.12285948287786,0.119852058592328,0.125877241650985,0.135432499587636,0.147242407890401,0.148361634061576,0.14816041723852696,0.145850330340831,0.144543449567311,0.13871623743707598,0.137655289803678,0.14413565575451198,0.145279531278708,0.147562653640489,0.142664559952181,0.139620266636495,0.13848468430639999,0.15288124340596201,0.15425045726771802,0.149290056090051,0.14759652134341902,0.149849614400733,0.15903551067495,0.16125576459690902, ND
394386,"Billings, MT",253,Mortgage Affordability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.388718309763926,0.35768417014012205,0.339617998821045,0.298574837785146,0.363415113903312,0.34538159331374196,0.307989687812445,0.30364224092460307,0.32157273166242795,0.34070386829790505,0.322948934237156,0.324299492466074,0.302277114216502,0.28811664307225604,0.285168906877654,0.301885557602612,0.29830705404728003,0.313505472913302,0.28469841686387504,0.28716070908237895,0.285169552445269,0.27601710414964004,0.264866266450278,0.279686815692265,0.269595637794951,0.260256352959291,0.272054411554765,0.25836617376406,0.259015975286987,0.24739894034180498,0.259017498520859,0.275844465791357,0.29575065927012395,0.306348064110098,0.328842714512045,0.30298772645077504,0.27546883574472303,0.28475259952199605,0.273493645949702,0.28786792522171,0.303650658575913,0.29855125345338895,0.27809719180944803,0.283549497511855,0.275310322755695,0.26725319788624996,0.257685616691543,0.25491812354036497,0.24869735767316398,0.237962638977502,0.235425577039797,0.23953983680415,0.24982134046615198,0.25651652731201396,0.258434508584858,0.263786581067827,0.259914782529496,0.24768465192616396,0.231698053247464,0.225628415932476,0.23969593960075897,0.24131852407742702,0.249600032977654,0.24918011087956,0.237689330041692,0.226063547035435,0.229607803685337,0.22428711365034,0.20461073145298603,0.21570498059384302,0.20292567187500302,0.191074725952156,0.211503563071384,0.20293862855782502,0.206600643112785,0.21250483353026398,0.204558395943297,0.211280075504253,0.225024584723107,0.226596982568817,0.236016883092599,0.22882317326313398,0.22182874015820897,0.219836773451268,0.22781635904407896,0.22030679579139803,0.21760400057301604,0.21745157233964701,0.226870541936059,0.219614938468552,0.202689369137919,0.19743197773431898,0.208716457589452,0.202223276248952,0.202297788661151,0.20432758563438003,0.200683720530085,0.19121757573688197,0.19867102252820898,0.198839398807588,0.18491915165133802,0.17378181626873904,0.17164045095709102,0.170924862268562,0.165730114024944,0.16385321619387802,0.1614146746928,0.16633276844755301,0.177644276721779,0.18879203916070603,0.18523558492675302,0.18066612448347896,0.17579542954553698,0.178132643783768,0.168137701176073,0.164440759686268,0.17048433029900498,0.16912137435649696,0.167452679781483,0.161499272828318,0.162063160158513,0.155013834674371,0.1708624239065,0.166569693207749,0.158704465538522,0.153374069584381,0.15814790030740802,0.177112469723178,0.17529237041889298, MT
394462,"Cheyenne, WY",405,Mortgage Affordability,0.24692687632639396,,,0.386689281966014,0.395504182055325,0.48736564461494,0.39626895198237394,0.42724779751537206,0.43747454135795505,,,0.559096615981338,,,,,0.385861170246555,0.415546866870479,0.403280107276164,0.40638594877890005,0.389125187843751,0.39211659369665397,0.44144516503422904,0.434151671490651,0.3962042529646789,0.3928701536200979,0.366156155430664,0.35319176499156696,0.325048393981855,0.29534595294378,0.332111293485174,0.308462131303552,0.293616556691116,0.282330288108592,0.306191875138084,0.31968670696086404,0.29602210567172105,0.29416838002949397,0.298353400754798,0.30317348529961197,0.29997379589519896,0.286963512793404,0.284560612099889,0.261958004533405,0.25886249976636605,0.275003406745621,0.265176982201841,0.265444645058511,0.24457558095616003,0.246650706631215,0.24438455370554,0.23903009883604395,0.22864885686988604,0.236673800693025,0.224834452243173,0.216230811208382,0.22343897693161896,0.209764851390889,0.20723947960126002,0.20018450501909302,0.20783879241514802,0.22546518178433703,0.24626044974714997,0.25479276776388804,0.26410522890181104,0.25599319244303603,0.236666591064172,0.23910476795790803,0.23475030902115698,0.249462423641972,0.262974091331055,0.25855357048880107,0.242397582153995,0.247203046021574,0.23998863556689498,0.23051606504119798,0.22079078755166698,0.21742836521269396,0.209987147967865,0.200804464895638,0.20077462665184803,0.20563549327988104,0.21491079424014498,0.21886760687998102,0.221633266712483,0.22875516885052902,0.23021869889419397,0.22367918568441297,0.21267319126898698,0.20616848895319398,0.210910471034133,0.20575442533733104,0.211776313520323,0.212321423274975,0.202131465461165,0.189960705790342,0.188976625940474,0.183342579962715,0.172750552991087,0.19041168366036804,0.185035036987344,0.178410901797833,0.19992867661764802,0.19358851317541897,0.19602660616148498,0.199571108832514,0.19003627091074102,0.193815074087727,0.207105941315922,0.209523049007577,0.219607945601062,0.21168060266441602,0.20327234138734804,0.200828823428546,0.208832226226772,0.205384498829353,0.204978408502942,0.204116602803041,0.211273433963249,0.20072066735245897,0.183519309316272,0.17882148979739998,0.190195566485799,0.18748586557498,0.189404091403875,0.19004390720257,0.183102788748658,0.172825452835126,0.18066706064891896,0.182773288767374,0.17694491560786102,0.16624481374512198,0.161478550949889,0.158249219698994,0.148834197617798,0.145649255158115,0.142146432940703,0.146625468307565,0.156937852760389,0.166030901994074,0.163905731535987,0.16048781201360698,0.15249970425539902,0.15025921244375798,0.145492181838612,0.145543970318404,0.15320967743390898,0.15522463319751098,0.15642774742823598,0.15240499624925102,0.15306580091931302,0.149876506696636,0.162675789902657,0.162179134975455,0.155176591593622,0.157058263990974,0.162136954970722,0.174680949190413,0.18065162010458605, WY
